timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
25012000,-0.006657906,-0.0045273644,-0.00585896,4000,0,0.053869545,0.002394373,-9.793484,4000,0
25016000,-0.0050599976,0.0023968488,-0.0029294903,4000,0,0.020350713,-0.0047882325,-9.807847,4000,0
25020000,-0.003462108,0.0026631628,-0.0010652662,4000,0,0.02274492,-0.021547647,-9.825806,4000,0
25024000,-0.0023968436,-0.0018642094,0.0023968497,4000,0,0.031124622,-0.02633605,-9.794682,4000,0
25028000,0.0015978985,-0.0013315801,-0.0007989464,4000,0,0.025139121,-0.0035911324,-9.767147,4000,0
25032000,-0.0031957903,0.0015979013,-0.0066579035,4000,0,0.025139121,0.008379878,-9.767147,4000,0
25036000,-0.0069242157,0.003195804,-0.0047936896,4000,0,0.025139121,0.0083798785,-9.792285,4000,0
25040000,0.00026632153,0.0058589457,-0.0037284396,4000,0,0.005985504,0.02633639,-9.794682,4000,0
25044000,0.0010652584,0.0013315799,-0.0039947433,4000,0,-0.017956512,0.057461016,-9.800665,4000,0
25048000,-0.0058589634,-0.0055926307,-0.0026631607,4000,0,-0.005985504,0.04908131,-9.824609,4000,0
25052000,-0.0050600115,-0.0042610527,0.00053263106,4000,0,0.038307235,0.033519,-9.817424,4000,0
25056000,-0.0015979026,0.002130535,0.0037284198,4000,0,0.04908113,0.0359132,-9.800665,4000,0
25060000,-0.0023968546,0.007456849,-0.0002663183,4000,0,0.016759416,0.015562484,-9.777922,4000,0
25064000,-0.0013315948,0.004793686,-0.005858956,4000,0,0.0035913025,-0.013167939,-9.7719345,4000,0
25068000,-0.0034621097,0.0015979027,-0.0021305243,4000,0,-0.014365209,-0.035912853,-9.806652,4000,0
25072000,-0.0055926344,0.003462119,0.004527374,4000,0,-0.051475346,-0.02513895,-9.828198,4000,0
25076000,-0.00053263456,0.004527382,0.003994734,4000,0,-0.039504327,0.040701605,-9.800665,4000,0
25080000,0.0015978991,-0.0013315786,0.00026631396,4000,0,-0.0011971008,0.086191446,-9.759963,4000,0
25084000,0.0037284277,-0.011185278,-0.0013315852,4000,0,-0.008379708,0.05506682,-9.795877,4000,0
25088000,0.0031957934,-0.009853696,-0.0010652652,4000,0,-0.0035913028,0.01197118,-9.841368,4000,0
25092000,-0.006924233,-0.008255802,0.0029294458,4000,0,0.015562311,-0.023941847,-9.8198185,4000,0
25096000,-0.018375825,-0.011451593,0.008522091,4000,0,-0.011971008,-0.051475175,-9.842566,4000,0
25100000,-0.0274306,-0.0018642212,0.0114515,4000,0,0.008379709,-0.010773737,-9.885658,4000,0
25104000,-0.028495895,0.01651154,0.00559247,4000,0,0.07541737,0.011971181,-9.866505,4000,0
25108000,-0.01890852,0.022903105,-0.0050601196,4000,0,0.06943185,-0.01556214,-9.856928,4000,0
25112000,-0.013315819,0.019174745,-0.0058589745,4000,0,0.005985505,-0.0059853317,-9.879675,4000,0
25116000,-0.018642109,0.026897945,-0.0053263223,4000,0,-0.01436521,-0.0095766345,-9.9108,4000,0
25120000,-0.022104232,0.03755057,-0.0066579375,4000,0,0.039504327,-0.04070125,-9.935939,4000,0
25124000,-0.017576769,0.034088515,0.0015978663,4000,0,0.053869545,-0.0155621385,-9.932346,4000,0
25128000,-0.01731048,0.01997374,0.006924299,4000,0,0.008379708,0.020350888,-9.916786,4000,0
25132000,-0.020506348,0.006924183,0.0018643097,4000,0,-0.0011971008,-0.01795634,-9.920377,4000,0
