Format Version,1.23,Take Name,Take 2023-04-16 08.31.25 PM,Take Notes,,Capture Frame Rate,200.000000,Export Frame Rate,180.000000,Capture Start Time,2023-04-16 08.31.25.957 下午,Capture Start Frame,98506,Total Frames in Take,11727,Total Exported Frames,10554,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Frame,Frame,Frame,Frame,Frame,Frame,Frame,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody,RigidBody
,ID,C21BDE43D54311EDA1C33D84CA38ABB2,C21BDE43D54311EDA1C33D84CA38ABB2,C21BDE43D54311EDA1C33D84CA38ABB2,C21BDE43D54311EDA1C33D84CA38ABB2,C21BDE43D54311EDA1C33D84CA38ABB2,C21BDE43D54311EDA1C33D84CA38ABB2,C21BDE43D54311EDA1C33D84CA38ABB2,3AD658EDDC5211EDA1C33D84CA38ACB2,3AD658EDDC5211EDA1C33D84CA38ACB2,3AD658EDDC5211EDA1C33D84CA38ACB2,3AD658EDDC5211EDA1C33D84CA38ACB2,3AD658EDDC5211EDA1C33D84CA38ACB2,3AD658EDDC5211EDA1C33D84CA38ACB2,3AD658EDDC5211EDA1C33D84CA38ACB2
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
85,0.472000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035973,0.003527,-0.010969,0.999286,1433.719849,130.477844,2035.909180
86,0.477000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035957,0.003536,-0.010960,0.999287,1433.717896,130.467743,2035.918213
87,0.483000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035949,0.003519,-0.010962,0.999287,1433.715942,130.474869,2035.909668
88,0.488000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035967,0.003515,-0.011011,0.999286,1433.719360,130.483017,2035.906128
89,0.494000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035964,0.003501,-0.011020,0.999286,1433.719727,130.487122,2035.906738
90,0.500000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035959,0.003526,-0.010998,0.999287,1433.717651,130.472519,2035.916626
91,0.505000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035966,0.003515,-0.010998,0.999286,1433.718628,130.478851,2035.913696
92,0.511000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035952,0.003528,-0.011007,0.999287,1433.728516,130.487747,2035.913208
93,0.516000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035946,0.003518,-0.010977,0.999287,1433.721680,130.480881,2035.910156
94,0.522000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035967,0.003525,-0.010996,0.999286,1433.715942,130.464859,2035.916138
95,0.527000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035978,0.003517,-0.010983,0.999286,1433.723877,130.477402,2035.911377
96,0.533000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035988,0.003507,-0.010991,0.999286,1433.723389,130.471344,2035.912476
97,0.538000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035968,0.003518,-0.011015,0.999286,1433.716675,130.467941,2035.911621
98,0.544000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035968,0.003520,-0.011004,0.999286,1433.719116,130.471405,2035.911621
99,0.550000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035977,0.003522,-0.010943,0.999287,1433.719116,130.486511,2035.908691
100,0.555000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.035968,0.003515,-0.010961,0.999287,1433.717163,130.491684,2035.911621
