%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1682431255616306791,1820,1682431255616093749,world,1.4402109384536743,-1.7636983394622803,1.733195424079895,0.01391588058322668,-0.06763240694999695,-0.0019560849759727716,0.997611403465271
1682431255631744966,1821,1682431255631269047,world,1.4403618574142456,-1.7636783123016357,1.733008861541748,0.014616461470723152,-0.06725849211215973,-0.002344422973692417,0.9976257681846619
1682431255641579289,1822,1682431255641270329,world,1.4404186010360718,-1.763744592666626,1.7328274250030518,0.014274652116000652,-0.06623010337352753,-0.0025787241756916046,0.997698962688446
1682431255661397477,1823,1682431255661144101,world,1.4404716491699219,-1.7637085914611816,1.732503890991211,0.013084806501865387,-0.06471867114305496,-0.002503452356904745,0.9978146553039551
1682431255691428823,1824,1682431255691244655,world,1.440433382987976,-1.7635737657546997,1.7323224544525146,0.013494406826794147,-0.06535452604293823,-0.002553943544626236,0.9977675676345825
1682431255721452710,1825,1682431255721259626,world,1.4402425289154053,-1.7634230852127075,1.7321182489395142,0.012952898629009724,-0.06514869630336761,-0.0026696883141994476,0.9977879524230957
1682431255751381847,1826,1682431255751171263,world,1.4400049448013306,-1.7633153200149536,1.7319942712783813,0.012354076839983463,-0.06436710059642792,-0.002366024535149336,0.9978470802307129
1682431255786409709,1827,1682431255786221833,world,1.4396508932113647,-1.7631614208221436,1.731968641281128,0.012172077782452106,-0.06413402408361435,-0.0018440628191456199,0.9978653788566589
1682431255816355596,1828,1682431255816131595,world,1.4391885995864868,-1.76301908493042,1.731990933418274,0.01119789108633995,-0.06450067460536957,-0.0015795247163623571,0.9978535771369934
1682431255816362388,1829,1682431255816157762,world,1.4390677213668823,-1.7629897594451904,1.7320181131362915,0.011048843152821064,-0.06464441120624542,-0.001485553220845759,0.9978461265563965
1682431255831413644,1830,1682431255831228060,world,1.4388240575790405,-1.762919545173645,1.7320666313171387,0.010709259659051895,-0.06491188704967499,-0.001287575694732368,0.997832715511322
1682431255861463198,1831,1682431255861252156,world,1.4383152723312378,-1.7628045082092285,1.732239007949829,0.010863014496862888,-0.0656631663441658,-0.0009171170531772077,0.997782289981842
1682431255861479365,1832,1682431255861282948,world,1.4382226467132568,-1.762784481048584,1.7322889566421509,0.011130202561616898,-0.06583144515752792,-0.0008286567172035575,0.9977684020996094
1682431255891628420,1833,1682431255891435794,world,1.4377751350402832,-1.7626270055770874,1.7326592206954956,0.013652414083480835,-0.06754112988710403,-0.0006811984931118786,0.9976229071617126
1682431255921419140,1834,1682431255921221514,world,1.4371535778045654,-1.7624608278274536,1.7329537868499756,0.014755922369658947,-0.06945754587650299,-0.00018066771735902876,0.997475802898407
1682431255936247270,1835,1682431255936089895,world,1.4369405508041382,-1.7623471021652222,1.7329343557357788,0.014018375426530838,-0.06929535418748856,0.00028191000455990434,0.9974977374076843
1682431255956326793,1836,1682431255956131500,world,1.4366897344589233,-1.7621725797653198,1.7329119443893433,0.0136039350181818,-0.06915778666734695,0.0006598047912120819,0.9975128173828125
1682431255971285090,1837,1682431255971106381,world,1.436470627784729,-1.761949896812439,1.7329519987106323,0.014103426598012447,-0.06958440691232681,0.0009753681952133775,0.9974759221076965
1682431255986419472,1838,1682431255986190763,world,1.4362531900405884,-1.76165771484375,1.732952356338501,0.014315142296254635,-0.07020200043916702,0.0011302628554403782,0.9974294304847717
1682431256001539978,1839,1682431256001325228,world,1.4360172748565674,-1.7612766027450562,1.732857584953308,0.014017483219504356,-0.07071130722761154,0.0015205785166472197,0.9973971843719482
1682431256031480532,1840,1682431256031260157,world,1.435665488243103,-1.7606008052825928,1.7325769662857056,0.013912213034927845,-0.07054151594638824,0.0025914001744240522,0.9974084496498108
1682431256036391381,1841,1682431256036186422,world,1.435625672340393,-1.7604743242263794,1.7325117588043213,0.013805404305458069,-0.07051853835582733,0.0027935970574617386,0.9974110722541809
1682431256061445045,1842,1682431256061244252,world,1.4354523420333862,-1.7598949670791626,1.7321778535842896,0.013492465950548649,-0.06949444115161896,0.004097533877938986,0.9974827170372009
1682431256066532227,1843,1682431256066397685,world,1.4354294538497925,-1.7598187923431396,1.7320973873138428,0.013325120322406292,-0.06927521526813507,0.004372171126306057,0.9974990487098694
1682431256091529557,1844,1682431256091347640,world,1.435302972793579,-1.759503722190857,1.731764793395996,0.013096562586724758,-0.06890735775232315,0.005388714373111725,0.9975225329399109
1682431256106395271,1845,1682431256106147020,world,1.4351985454559326,-1.7593154907226562,1.7314058542251587,0.012668034061789513,-0.06759785115718842,0.006188149563968182,0.9976130723953247
1682431256126298376,1846,1682431256126125459,world,1.4351298809051514,-1.759202003479004,1.7311558723449707,0.013553840108215809,-0.06791587173938751,0.00683131767436862,0.997575581073761
1682431256141344841,1847,1682431256141169632,world,1.435112714767456,-1.7592058181762695,1.7308642864227295,0.015293997712433338,-0.06874516606330872,0.007222216110676527,0.9974908828735352
1682431256156369514,1848,1682431256156107680,world,1.4351139068603516,-1.7592107057571411,1.7306222915649414,0.015873735770583153,-0.06846033781766891,0.007461490109562874,0.9974996447563171
1682431256161262363,1849,1682431256161124487,world,1.4351011514663696,-1.7592092752456665,1.7303526401519775,0.016084013506770134,-0.06784038245677948,0.007545865140855312,0.9975379705429077
1682431256176355703,1850,1682431256176121160,world,1.4350812435150146,-1.7591966390609741,1.7300103902816772,0.01606304757297039,-0.06715220957994461,0.007762308698147535,0.997583270072937
1682431256201319866,1851,1682431256201111990,world,1.4350816011428833,-1.7592411041259766,1.7291496992111206,0.016014382243156433,-0.06740276515483856,0.008573886007070541,0.9975605010986328
1682431256206216173,1852,1682431256206079381,world,1.4350932836532593,-1.7592644691467285,1.7289677858352661,0.01632128283381462,-0.06766650080680847,0.008783340454101562,0.9975358247756958
1682431256231685379,1853,1682431256231464462,world,1.435190200805664,-1.7593809366226196,1.7281465530395508,0.016524914652109146,-0.06621566414833069,0.009190977551043034,0.9976261258125305
1682431256236302519,1854,1682431256236154935,world,1.435222864151001,-1.7594177722930908,1.727937936782837,0.016386402770876884,-0.06557568162679672,0.009304961189627647,0.9976696372032166
1682431256266385865,1855,1682431256266186156,world,1.4354604482650757,-1.7596029043197632,1.726778507232666,0.014873631298542023,-0.06334100663661957,0.009264926426112652,0.9978380799293518
1682431256296680461,1856,1682431256296503294,world,1.4357221126556396,-1.7596489191055298,1.7258377075195312,0.014023290947079659,-0.06277920305728912,0.00869576446712017,0.9978910088539124
1682431256311333466,1857,1682431256311129341,world,1.43586003780365,-1.75962495803833,1.7255924940109253,0.013987764716148376,-0.06309444457292557,0.00844959169626236,0.9978737831115723
1682431256326392765,1858,1682431256326174472,world,1.436118721961975,-1.7595967054367065,1.7251312732696533,0.013028344139456749,-0.06270912289619446,0.008166884072124958,0.9979134202003479
1682431256341683772,1859,1682431256341435062,world,1.436449646949768,-1.759596347808838,1.7246792316436768,0.011776835657656193,-0.06159745529294014,0.007693497464060783,0.9980019927024841
1682431256346451620,1860,1682431256346253286,world,1.4365653991699219,-1.759600281715393,1.7245572805404663,0.011573043651878834,-0.061321649700403214,0.007538318634033203,0.9980225563049316
1682431256371881493,1861,1682431256371683826,world,1.4371167421340942,-1.759611964225769,1.7241603136062622,0.011914926581084728,-0.06104990467429161,0.007222013082355261,0.9980375170707703
1682431256376348424,1862,1682431256376192007,world,1.4373891353607178,-1.7595930099487305,1.7239822149276733,0.012235389091074467,-0.06135416030883789,0.006995714735239744,0.9980165958404541
1682431256401303545,1863,1682431256401100669,world,1.437898874282837,-1.759456992149353,1.723710298538208,0.012575475499033928,-0.062158577144145966,0.00651367986574769,0.9979658126831055
1682431256411333327,1864,1682431256411126868,world,1.4381335973739624,-1.7593863010406494,1.7235698699951172,0.012247016653418541,-0.06235607713460922,0.006319141946732998,0.9979588985443115
1682431256431336849,1865,1682431256431141182,world,1.4384455680847168,-1.7592047452926636,1.7234210968017578,0.012474543415009975,-0.06349468231201172,0.006233599502593279,0.9978848099708557
1682431256446306939,1866,1682431256446131730,world,1.4387654066085815,-1.759037971496582,1.723290205001831,0.012070667929947376,-0.06374773383140564,0.006009511183947325,0.9978749752044678
1682431256466422586,1867,1682431256466238169,world,1.4390839338302612,-1.758863925933838,1.7231742143630981,0.011677876114845276,-0.06422752887010574,0.006235911976546049,0.9978475570678711
1682431256481480592,1868,1682431256481287050,world,1.4394066333770752,-1.7586870193481445,1.7230333089828491,0.011721489951014519,-0.06407443434000015,0.006585820112377405,0.9978545308113098
1682431256486416733,1869,1682431256486145816,world,1.4395161867141724,-1.7586320638656616,1.722983479499817,0.011781244538724422,-0.06394195556640625,0.006795637309551239,0.9978609681129456
1682431256511376771,1870,1682431256511168521,world,1.4400218725204468,-1.7584244012832642,1.7227438688278198,0.0110686169937253,-0.06252680718898773,0.0072069172747433186,0.9979559183120728
1682431256516342412,1871,1682431256516150703,world,1.4402376413345337,-1.7582716941833496,1.7226364612579346,0.011279785074293613,-0.062000807374715805,0.0077786799520254135,0.9979820251464844
1682431256546245549,1872,1682431256546073590,world,1.440657377243042,-1.757886290550232,1.7225620746612549,0.013225949369370937,-0.06328131258487701,0.009039448574185371,0.997867226600647
1682431256551292232,1873,1682431256551103065,world,1.4408150911331177,-1.7576948404312134,1.7224512100219727,0.012974508106708527,-0.06323428452014923,0.00968961976468563,0.9978673458099365
1682431256571303587,1874,1682431256571119503,world,1.4412060976028442,-1.7573401927947998,1.722143292427063,0.012471501715481281,-0.06321702152490616,0.010981063358485699,0.9978614449501038
1682431256586271385,1875,1682431256586083676,world,1.4414786100387573,-1.7571661472320557,1.7219804525375366,0.01264027040451765,-0.06270620971918106,0.011767969466745853,0.9978826642036438
1682431256601269933,1876,1682431256601086391,world,1.4418362379074097,-1.7568548917770386,1.7217450141906738,0.012743398547172546,-0.0617857500910759,0.01260790042579174,0.9979285001754761
1682431256616282647,1877,1682431256616106439,world,1.4422595500946045,-1.7566232681274414,1.7213913202285767,0.01127182599157095,-0.059979092329740524,0.012856974266469479,0.9980531930923462
1682431256636355295,1878,1682431256636168419,world,1.4426840543746948,-1.7562785148620605,1.7210661172866821,0.010477550327777863,-0.058929190039634705,0.013667450286448002,0.9981136322021484
1682431256651345968,1879,1682431256651118967,world,1.4430664777755737,-1.756139874458313,1.720871090888977,0.01020869892090559,-0.05870606377720833,0.01414243783801794,0.9981229901313782
1682431256661312708,1880,1682431256661111999,world,1.443597674369812,-1.755916714668274,1.7205138206481934,0.009496595710515976,-0.057725321501493454,0.01466123852878809,0.9981796741485596
1682431256681357105,1881,1682431256681195396,world,1.4441536664962769,-1.7556155920028687,1.7201220989227295,0.00834820605814457,-0.05648244172334671,0.014908037148416042,0.9982574582099915
