timestamp,nav_state_timestamp,failsafe_timestamp,armed_time,takeoff_time,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,vehicle_type,is_vtol,is_vtol_tailsitter,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,data_link_lost_counter,high_latency_data_link_lost,engine_failure,mission_failure,geofence_violated,failure_detector_status,latest_arming_reason,latest_disarming_reason
6552000,828000,0,0,0,271122476,270598156,271515663,1,1,0,1,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7056000,828000,0,0,0,271122476,270598156,271515663,1,1,0,1,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7560000,828000,0,0,0,271122476,270598156,271515663,1,1,0,1,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8064000,828000,0,0,0,271122476,270598156,271515663,1,1,0,1,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8568000,828000,0,0,0,271122476,270598156,271515663,1,1,0,1,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9072000,828000,0,0,0,271122476,270598156,271515663,1,1,0,1,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9576000,828000,0,0,0,271122476,270598156,271515663,1,1,0,1,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10080000,828000,0,0,0,271122476,270598156,271515663,1,1,0,1,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10584000,828000,0,0,0,271122476,270598156,271515663,1,1,0,1,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11088000,828000,0,0,0,271122476,270598156,271515663,1,1,0,1,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11592000,828000,0,0,0,271122476,270598156,271515663,1,1,0,1,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12096000,828000,0,0,0,271122476,270598156,271515663,1,1,0,1,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12600000,828000,0,0,0,271122476,270598156,271515663,1,1,0,1,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13104000,828000,0,0,0,271122476,270598156,271515663,1,1,0,1,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13608000,828000,0,0,0,271122476,270598156,271515663,1,1,0,1,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14112000,828000,0,0,0,271122476,270598156,271515663,1,1,0,1,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14616000,828000,0,0,0,271122476,270598156,271515663,1,1,0,1,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15120000,828000,0,0,0,271122476,270598156,271515695,1,1,0,1,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15588000,15588000,0,0,0,271122476,270598156,271515695,2,1,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
16092000,15588000,0,0,0,271122476,270598156,271515695,2,1,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
16596000,15588000,0,0,0,271122476,270598156,271515695,2,1,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17100000,15588000,0,0,0,271122476,270598156,271515695,2,1,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17604000,15588000,0,0,0,271122476,270598156,271515695,2,1,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
18108000,15588000,0,0,0,271122476,270598156,271515695,2,1,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
18612000,15588000,0,0,0,271122476,270598156,271515695,2,1,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
19116000,15588000,0,0,0,271122476,270598156,271515695,2,1,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
19620000,15588000,0,0,0,271122476,270598156,271515695,2,1,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20124000,15588000,0,0,0,271122476,270598156,271515695,2,1,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20628000,15588000,0,0,0,271122476,270598156,271515695,2,1,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
21132000,15588000,0,0,0,271122476,270598156,271515695,2,1,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
21396000,21396000,0,0,0,271122476,270598156,271515695,17,1,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
21408000,21396000,0,21408000,0,271122476,270598156,271515695,17,2,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0
21912000,21396000,0,21408000,0,271122476,270598156,271515695,17,2,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0
